overall,reviewText,summary
5,"Love them!  I have worn them for years!  Best slip on's I've ever worn.  Try them, you'll like them too.",Leather Ked's
5,"I've been wearing these pantyhose for years.  Over the years the sizing, quality, and comfort have not changed.  They look fabulous, wash and wear well, and are comfortable.","If one must wear hose, these are great"
5,"These are so comfortable and soft. I wear them all the time. Also, love that they don't slap the back of your heel when you walk.",Comfy
5,good,Five Stars
5,"My husband is so tall, 6'5"", it is hard to find a jacket that doesn't look like it should be on a little boy. This jacket fits him
perfectly. The quality is what Wrangler should be.
He would highly recommend the Wrangler Rugged Wear Jacket.",A great jacket
5,Very comfortable. Hooked on these,Five Stars
5,"The watch came quickly and is very beautiful with fantastic packaging.  Since it is a Christmas gift, it is too early to comment on its operation.",Beautiful watch but too early to test operation
5,Very comfy,Five Stars
5,My daughter had been asking for boots for 2 years. I was really hesitant about buying some because she is a girly girl... but this was the perfect pair... She wore them until she couldn't get her feet in them anymore and had a fit when I had to give them away... shopping for a new pair now.... great buy....,Moma's Cow Girl
5,Great! My daughter loves it and the delivery was right on schedule.,Five Stars
5,"I like the comfort, the material, and the fact that the flip flop are so light. Another great thing is the fabric inside of the strap that makes those even more comfortable. I'm wearing them a lot. I'd recommend it to anyone who likes fun, casual and comfy flip flop. Great job, Sanuk!",Comfortable and fun
5,very simple but very good shirt!,Five Stars
5,great sneakers,Five Stars
5,My daughter loves these!  Super cute.  Make sure you get the right size.  We almost got a men's 7 which would have been a womens 9.  Glad we double checked,Super cute. Make sure you get the right size
5,"My son loves them! Tries to sleep in them and when I won't let him, he sets them right next to the bed like a real fireman!",Emulating his heroes!
5,everything fit fine,Five Stars
5,"Bought these for my dad as a birthday prize. They were a tad long however, he loved them and says they are very comfortable!",he loved them and says they are very comfortable
5,perfect for gift!,Five Stars
5,Exactly what he wanted!!!,Five Stars
5,Good quality,Five Stars
5,....these Hush Puppies fit like a glove with maximum comfort and support for my dialectic feet...I'm getting another pair..and was here within 3 days....,Right out of the box
5,Met specs,Five Stars
5,Great pair of shoes for running around a restaurant all night!!!,Five Stars
5,"This is my second pair. On one of the rare occasions that I wasn't wearing the first pair, Duke the Golden Retriever mistook them for a chew toy and shreded them, although they put up a valiant fight. The size is right on the money, and they're very comfortable.
The new pair is great quality, equal to the first pair. Shipping was fast - delivered by the United States Postal Service on a Sunday! Packaging was good.",Love 'em... live in 'em.
5,"Comfortable & warm. Suitable for cool weather :D Soft, smooth, good quality. Ordorless. Machine washable. Good for home use. Yes",Good
5,Very good fit and quality.,Great kids boot
5,A+,Five Stars
5,Fantastic boots for the price.,Five Stars
5,"This XL is what I ordered, unlike a similar, extra large shirt I ordered at the same time, made by S-7. It was ridiculously small. Maybe an XL child size.",Sized right !
5,I just got this hat today well made and fit like a glove. It will be getting a lot of wear time. Great hat for the money.,... just got this hat today well made and fit like a glove
5,These are happiness for your feet. Love them. Excellent color.  Now if only I lived in an area where I could wear sandals year round!,Sweet Summer Foot Bliss
5,My friend LOVES them! Very durable and look good too.j,Very durable and look good too.
5,"Danner, what else is there to say",Five Stars
5,This is a very pretty and sturdy chain. Shiny and bright. I love the longer length.,Sterling silver necklace
5,"other than the fact that they got a little discolored, i am in love with these, will be buying more!","i adore the pants, thanks."
5,Great!,Five Stars
5,Awesome shorts comfortable fit,Love these shorts
5,I like it a lot.,Five Stars
5,"I LOVE my old school calculator watch! It's so fun and exactly like the picture. I even got water on it and it still works. I might not be able to do my taxes in it, but last night I figured out how old Johnny Cash was.",I LOVE my old school calculator watch
5,Shoes are a perfect fit. Insole are very comfortable and feels great to walk in them all day. I would definitely recommend them.,Hope it helps
5,"Boot footbed is very comfortable right out of the box. The uppers need a little break in time. Keep my feet nice and dry with the waterproofing. Overall great boot, this is the second time I bought them.",Very Comfortable!
5,Perfect fit! :),Five Stars
5,ok,Five Stars
5,"Love this hat, does run small - be forewarned, my 4 month old (who is small) no longer fits in the 12 month hat. Thankfully we had the 18 month hat ready.  These hats are so cute and keep my little one nice & cozy.",Cozy & cute! But small!
5,I brought this on a whim and was impressed with the craftsmen ship and fabric great item at a great price,Socks that Rock
5,Great shoes. this is my 2nd of Keems and I expect these to be as great as my old ones.,Great shoes
5,"The costume was about what I expected.  It was a very good costume.  It fit okay.  I am 5'8"" 180lbs.  The boot tops would not stretch to completely cover my shoes and the crotch was a little tight.  Other than that, it was a fine costume and my coworkers loved it.",Super!
5,Fit well. Will work just fine for trips.,Will work just fine for trips
5,Very happy with the shoes,Five Stars
5,"For the price these socks get the job done.  They fit well and are comfortable.  I've been wearing gold toe as my general purpose sock for years and don't have a complaint.

The only issue I see with this particular line is that they seem to lack a the same thickness I've seen in previous years.  However, after a wash/dry they shrunk up a bit and now feel like they have a bit more substance.",Great general purpose socks
5,I wanted the shoe covers keep my carpets clean while my house on the market. They are doing their job.,Clean carpets
5,These are very nice pants and I was pleasantly surprised by the quality of these pants.,Can wear anywhere
5,good,Five Stars
5,These fits as expected with a little room to grow.,Five Stars
5,"These UA boxerjocks are super comfortable and very high quality.

If you are on the higher end of a particular size I recommend going to the next size higher as these are underwear not compression shorts, I am normally size large (36-38 waist) and the XL fit perfect. You will be amazed, you cannot even tell you are wearing underwear, no roll-ups on the leg and no pinching the boys or their glove.

The binding on the thigh from the 9"" inseam took some getting use to as I am not use to anything tight around my thigh but after approx 5 minutes I could not even tell they were on. Nothing I hate worse then underwear creeping up the leg or crotch so I highly recommend the 9"" inseam as they do stay were you want them.

Worth every cent, pricey I know but how can you put a $$ figure on all day comfort. The jock section offers nice support without undue compression. The wide and soft waistband is extremely comfortable. Based upon reviews I read before I purchased these underwear they seem to last years and years, so in the long run they are cost effective.

Cotton underwear (previously used 2(x)ist and they started to fall apart after one year) for me are history, nothing but UA underwear in my underwear drawer.","Highly recommend these underwear, 5 stars!"
5,Perfect,Five Stars
5,"I have bought this bra in the past at a department store, but hard to find in the stores now.  Love it.",perfect
5,"Love easy to ready dial, especially at night.",worth the money.
5,"I need to buy more, only jeans i like.",only jeans i like.
5,i will buy again,Five Stars
5,"These earrings are absolutely beautiful! The ones I purchased looked exactly like the ones on the photo, even down to the brown tone of the garnet stones -- which is to be expected from some garnets. I am giving these as a gift, but now I want a set of my own.",Gorgeous!
5,Very durable. I'm glad they keep making this same model for 2 decades now.,I'm glad they keep making this same model for 2 decades ...
5,Real solid boot. Do allow some time to break in.,Five Stars
5,Good Product. Thanks.  :),Five Stars
5,"Glad to order instead of going to a store where sizes, colors, fit, etc. are always mixed together.",Five Stars
5,It did an awesome job protecting my back during a recent move.,Great support for your back at a very good price
5,"These shoes  are exactly what the doctor ordered, I'm more than satisfied,the fit is perfect and they are so comfortable you don't want to take them off.",Real classy and comfortable
5,Love it!,Five Stars
5,Comfortable!,Five Stars
5,Loved it!,Five Stars
5,Loved them,excellent
5,My husband loved this as one of his Christmas gifts. The box looks like really good quality.,Perfect gift!
5,Very nice watch for the price. Bought the pair for me and my girl friend. Took forever to get the flat pins out to adjust the size but we'll worth the money.,great buy
5,It's Ray-Ban and it delivers.,Five Stars
5,Happy with product.,Five Stars
5,"When it comes to casual slip-on shoes, I've tried them all.  Once I found the globe Castro nothing else compared.  A stylish, casual, and extremely comfortable slip-on boat style shoe perfect for anyone.  The sizing is perfect and they come in a variety of colors.  I've owned many different pairs and this combination is one of my favorites.  Personally, I wear these without socks in the spring & summer and they are perfect to throw on for nearly any casual occasion.  Shorts, pants, jeans... They look great with any outfit and I always get compliments on them.  If you're considering purchasing a pair, do it you will not regret it.",The perfect casual slip on shoe!
5,Very very comfortable and great for commuting,Five Stars
5,"I've worn Sperry Top-siders for over 40 years.  I don't think there is a better boat shoe than a Sperry.

The fit is perfect and they are comfortable.  The extra thick soles add to their long life and comfort.",reat Shoe
5,Very comfortable!,Five Stars
5,Merrill has excellent products - they are a little pricey or we would buy more often.,Five Stars
5,"I have just received my fourth pair of this same running shoe. I love them...this is the only shoe I can wear that helps keep my knees, feet, shins and ankles
pain- free when I run. I will keep buying them as long as they keep making them!",Love these shoes!
5,"I have bunions and need a wide shoe to accommodate them...sigh. These shoes fit wonderfully well. A little extra space at the toes, but my feet are very happy with them!",These shoes fit wonderfully well. A little extra space at the toes
5,Most comfortable boots ever,Five Stars
5,"Just make sure to order them with the right width since they're kind of narrow, I don't have wide feet/toes which is why you need to be careful with that,  but in terms of length, they definitely fit as expected. I also love how comfy they are, I can feel the cushion at the bottom which I had never seen in any converse before and I just love it!  I ordered the 8.5 Men size and as you can see on the pics, I have narrow, but somewhat large toes.",I also love how comfy they are
5,"This is my 4th pair...I love them...I'd been buying the wide but don't think there is enough difference in the wide and regular width to warrant the additional struggle it is to find the wide.  they do have some arch support, but not as much as I really need.",Love my shoes!
5,"I must say I love these shirts, the cloth is top notch and the shirt is made extremely well. It fits perfect so I just ordered 2 more.",Comfortable
5,Nice product. Great price for the quality of the costume you get. Great fit. Looks great with a beard and dreadlocks.,Perfect pirate
5,"This particular watch from Tissot is very simple yet elegant looking and quite affordable from a price point. For those with larger wrists, make sure you review watch size specifications carefully as the dial size is around 36mm or so and also strap length may not be long enough as well.  Since, I have small wrist, this watch fits me perfect and strap length is also adequate.",Great Looking Watch
5,Ordered for my son fits great will order second pair soon.,Five Stars
5,Exactly what I was looking for. Good fit and at a price i could afford. It can be hard for a big guy to find clothes that actually fits,Everything I wanted
5,Cool laces.,Five Stars
5,Got these for my daughter's uniform shoes and they are still looking great and feeling great after3 months of wearing every day and treating them in the ways that middle schoolers treat shoes.,Sturdy for school.
5,Fast delivery great look.,great deal
5,"My son is a huge fan of these shoes and about every 8-12 months, we have to buy a new pair because he wears them every day that he doesn't have PE in middle school. He loves the comfort and the style - he especially loves their low profile so he can wear them with straight or skinny jeans. As with all Chuck Taylor's made by a Converse, these are well made and really do hold up well over time. The fact that my son had his last pair for just shy of a year after wearing them primarily - says a lot! As a matter of fact, had it not been for the fact that they got rust stained from stepping into a puddle of rusty water - I don't think we would have replaced them yet. The best part of buying them from this particular seller was the price! At almost $10 less than I can buy them in any store (in person or online) made these a phenomenal deal, and I'm hoping the next time we need to buy them, this seller will still have this great price. Buy this product with confidence from this seller!",Great shoes! Great price!
5,"My fault, I ordered the wrong size.",Five Stars
5,Love them. I work on my feet all day and they really help.,Five Stars
5,I am a size 7.5 and the 7 is a great fit.,5 and the 7 is a great fit.
5,My wife bought this brand of loafers from this seller previously. They are consistently of a quality nature. She'll buy again too!,Great Loafers!
5,"I love this shoe! I never want to wear another shoe in my life! After two days my back, neck, and foot pain went away! I had to have all white nursing shoes for school and they were so awesome I had to buy these for everyday! They are very comfortable. I can wear regular shoes and these were almost too snug. If I had to do it again I would have ordered wide. If you have a slightly wide foot like I do, I would order wide. Over all they are the best shoe ever!",I love this shoe!
5,So comfy - I wore out 2 pairs last summer and replaced them.  I am planning on getting more colors.  If you are a fan of the flip flop (as I am) these are the best!,Amazing - as expected!
5,Perfect winter hat,Very pretty shade of valentine red - warm as toast - fair price too
5,"My mom can't wear ""regular"" fitting shoes and she just loves the fit of these slippers.  They are sturdy enough to wear outdoors.",great gift for grandma
5,"These stayed up and I had no problems with them. I'm 5 ""2 & weight 128. My thighs are quite thick but there was no pinching or falling down. I performed a private dance for my boyfriend in these & they held up all night.",These stayed up and I had no problems with them ...
5,gr8 fit,Five Stars
5,great slippers,Five Stars
5,love my overalls.,Five Stars
5,I've had shoes that look similar to these however there is no substitute for quality. These shoes have exceeded my expectations for how long they last. This is my second pair as the first ones gave out after a long life. The soles have rubber inserts so you don't slide around on carpet too.,Well made shoes that will last
5,"I purchased this backpack before a weekend trip across the country from Tennessee to California.  I got the Porter 46 to replace my Transporter 46, which is the Porter 46's non-backpack, PITA-to-schlepp-through-a-big-airport cousin.  I stuck with Osprey brand because my Transporter has held up very well, is well-built, and has a lifetime warranty.

First, the Porter 46 is quite roomy. For my trip, the bag carried a suit and dress shirt, two pairs of shoes, PJs, and 3 days of underwear and casual wear.  I also had my security blanket, laptop + charger, 3 1"" textbooks, a notebook, and toiletries.  I also crammed in a Kelty hip pack that had food and electronics.  Since that trip I've used it several times for weekend trips and can fill it with all the clothes I need plus 20-30lbs of tools.

The two handles on this bag are very comfortable and won't rub your hand raw if you choose to carry the bag rather than wear it.  The backpack straps and hip strap are fairly comfortable--I wouldn't go hiking with this pack, but they are more than adequate for travelling (and they can be tucked away in the back panel). It fits just fine in an overhead bin.  The gray sidewalls are stiff foam, which helps the Porter keep its shape and give it some protection from the savage baggage handlers.  The two compression straps have clips to hold the loose end of the straps. There is a document pocket on the opening panel, as well as a pocket on the top of the bag, which is big enough to separate dirty or wet laundry, or a pair of shoes from the rest of the bag.  There are 2 mesh pouches on the inside - one runs the length of the sidewall and one covers the inside of the opening panel.  There are also two heavy duty rings on the side to attach a carrying strap if you choose to carry your pack that way, along with 4 D-rings to attach a daypack.  The main zipper is a YKK #7 - very durable.

Overall: very high-quality, good-looking, roomy, and comfortable travel pack from a reputable company.",Osprey Porter 46 - worth every penny.
5,Very very durable and it actually holds urine unlike those disposable swim diapers! Love it! My son is 3 years old and weighs 40 lbs. 3/4 fits perfectly!!!!,Love this swim diaper!!
5,"We recently got hardwood floors in out home and offer these to guest that done want to take off their shoes. My husband friend all have large feet and they work great!

Great price",Good Quality Solid Product
5,"Got it for my husband who has flat feet, and hates flip flops. He walked in them all day, and loved it.",and loved it.
5,This item is a godsend.,Five Stars
5,Fits great. Owner loves it,Five Stars
5,"Very nice shirt, gave as a gift and they loved it.",Five Stars
5,Stays on my head without giving me a headache.  Best ever!,Best ever!
5,"Great Boot, I have a pair of sketcher shoes that are 3 months old. I am ready to throw them away and get keens again.",You get what pay for.
5,Would have paid more than 3X the amount at a local shop for similar or less quality.  It is exactly what I wanted.,CAMO FLIGHTSUIT
5,Great had total hip surgery slip on fit good buy them,shoes
5,Very nice sunglasses . ,Five Stars
5,My mother loves it.,Five Stars
5,size perfect 2t,Perfect size
5,"the pants are too small --- but they size right --- I was just hoping to lose 10 or so pounds to fit in them, and I never did -- well YET",just kidding myself
5,"Just as expected, fast shipping as always with my prime account",Perfect
5,This is a great cloth for polishing my silver jewelry. I like the large size.,Polishing cloth
5,Great for work shirts.,Five Stars
5,Fabric has a slightly foamy texture to it which I didn't expect but it is slimming and the cups provide good support. Will be wearing it under my wedding dress. Fits but is tighter than expected.,... expect but it is slimming and the cups provide good support. Will be wearing it under my wedding ...
5,"Columbia shirts are simply the best. The colors are exceptional, the fit is cool and comfortable but part of why I like them is like me - they run a little to the large side. These will not disappoint.",Great shirts..... Vibrant colors and nice comfy fit (a little loose - like this shirt should be)
5,To small but cute,Five Stars
5,"These shoes are for my husband. They are his first slip on and he loveds them.
He has high step and wide feet. His job requires a lot of walk every day.
He's been wearing comfortable lether walking shoes for work for many years.
Now he is in love with slip on.
Streching band is helpful for his high step and EE shoes are roomy enough.
No time was needed to break in. They work well with wet weather. great traction.",Great shoes
5,Nice surprise that it is U.S.A. made. Simple and well made.,Five Stars
5,Great fit on a classic that never goes out of style.,Just what I was looking for!
5,Excelente producto,Five Stars
5,"My husband loved these jeans but had to change when he came inside.  They are definitely cold weather, outside jeans.",C. Patterson
5,"Good purchase, fit husband well, would order again",Five Stars
5,"Great fit, great price, I've begun using Amazon as my Columbia replacement center.",Five Stars
5,I am so thankful you have this bra.  I used to purchase at a retail chain ... they stopped selling them.  Best bra for me!!!  thank you thank you,Best bra for me
5,"I got the black one, which will work with anything and is the cheapest of the bunch. I wouldn't want to pay more than what I did for it, roughly seven, so it was a good buy. Works like it should, and wasn't ridiculously priced so there isn't much more to say.","Good price, good product"
5,"Perfect fit, look great, excellent quality, arrived on time as predicted, seller was great to do business with.","Great look excellent quality, seller was great to do business with."
5,The bras fit just fine and the price is great!,Five Stars
5,"I bought a part of Sanuk a few weeks ago for $39.99. When I found this pair at half the price, i had to have them. The arch fits well.",Love them
5,Gave these to my son-in-law for Christmas.  He rides a Vespa back and forth to work and loves them because the keep his legs warm.,warm
5,This shoes is really warm a little to small but great for the weather,... shoes is really warm a little to small but great for the weather
5,"These are good panties for the price. I am 54 years old and wear a size 14. The little bit of spandex provides a smooth fit, but thin enough that they breathe in the hot Florida weather.",Great!
5,My son loves his carhartt coat!  Bought this for a christmas gift and my son was very excited!  Very warm and of course sturdy!,Fantastic carhartt coat!
5,My white face Railroad watch was getting too fuzzy to read. Its my old eyes. The black face and thicker hour hands is what I need to see in lower light situations. I am a happy customer.,Eco Drive
5,Love this backpack. It is the perfect size Use it everyday.,Five Stars
5,Always love having a new bra!,Five Stars
5,Nice and heavy )not too heavy) and won't pull out . Great shirt,Terrific teea
5,This watch has brought me the kind of durability and quality I was looking for in a watch to wear while I work. Excellent!,Excellent!
5,My favorite slippers in the world.,Five Stars
5,"I bought this for my niece for xmas.. So she hasn't gotten it yet but after opening it up and looking it over, it was nicer than I thought it was going to be.  She loves horses and I'm sure that she's going to love it.",Very Nice...
5,Definitely worth buying again!,love them
5,"I looked for a long time for a watch that is accurate with a resin band and I found this watch from Casio. The styling is great and more important it is comfortable to wear.

The hands had a blue coating when the product is shipped and are not luminous until it is exposed to light for a few hours.

So far very happy.",Great design and comfort
5,These Keen are just a bit different than the ones I had.  They have more straps on the side but are actually more comfortable that way.  They are very comfortable and I love them.  Would recommend them.  5 stars.,newport keens
5,Very flattering for those of us who are past the low rise stage.,Five Stars
5,"Just what I needed! Because my arch was finally in place, my knee pain was gone and that made my day go a whole lot better. Not needing pain meds was a great feeling! So I glad I made this purchase!",Just what my feet needed
5,Was looking for them at a few stores but could only find all black but really wanted him soles I love them,... find all black but really wanted him soles I love them
5,I am very happy.,Five Stars
5,"This is the second pair of Rainbow Sandals I have purchased. They are GREAT quality. I can understand the price being somewhat of a turn off but if you want some sandals that will last forever, these are the ones to buy. The other pair I bought I still wear and I have had them for 3 years now! They are definitely in used condition (my first pair) but the strap between the toes is still holding strong. They really make these sandals to last. All the other brands I have tried have nothing on this brand. The strap would always break some 3-4 months in.
This particular type of sandals fit fantastic. Great arch support (although I've never had a big problem with that). They do take a week or two to get worn in as the sandal will mold to your foot. I will say that is can be uncomfortable to wear the first week or so but you will be amazed at how comfortable they are after they have been broken in. Great quality. I HIGHLY recommend this brand!",EXCEPTIONAL quality sandals! These are a must buy for anyone that loves to wear sandals.
5,Used this item to overhaul a vintage santa display. Worked great!,Worked great!
5,"Great fit quality etc ,I'm thinking this is made in usa since its WRANGLER at least I sure hope so.!!",Nice jacket !
5,"Comfortable fit.  These pants hold up well in tough working conditions.
Double lining makes the pants last longer than the average work pants.",Wrangler Men's pants
5,Perfect for my 8 year old granddaughter. She loved it.,Five Stars
5,My most favorite scrubs ever! I wish they came in petite white and that they hadn't been discontinued.,Five Stars
5,"I spent a lot of time going back and forth between the Orient and this watch. I eventually went with this watch since I dive / spearfish and this Seiko is was more of an actual divers watch and not just a divers style watch. Although the amazon description didn't say anything about it, I found everywhere else online said that this watch comes with a wetsuit extension (divers extension). This was not the case! I was throughly disappointed when I received the watch and the bracelet had no extension. I decided to keep the watch despite the lack of this extension as I love the look and feel of the watch. Thus far it is keeping great time and I have received many compliments on it. On the Seiko side I am very happy with everything (despite the divers extension, which I am still not sure why this doesn't have one), but Amazon took 3 days just to ship this item out their doors.",Great Watch Thus Far
5,Arrived timely & great bra!,Timeless
5,Great looking shoe.  Very comfortable and fit true to the size.,Five Stars
5,"These are my favorite flip flops in the entire world. I live in them all summer. They look great with jeans or pants, like strappy sandals, and just as cute with shorts or a skirt. They have enough straps that they don't flop around or make the clicking sound when you are walking. I replace mine about every 2 years just to keep the footbed soft as they do get squished down when they are worn as much as mine do!",These are my favorite flip flops in the entire world
5,Bought these for my son. He is happy with them.,Great pants!
5,"So far so good comfortable, no real ""break in "" time. Off to the rain forest, we'll see then. Deb",keen lived up to their promise
5,The large numbers and left handed dials make this watch the most practical one for me. Also the leather band is beautiful.,Most Practical watch ever.
5,"There are the heaviest and best work and all around pocket t shirts . I like I can get tall sizes that never show a plumbers crack and tuck in well keeping in warmth  . The long sleeves ones are great to layer in winter . The material is almost as heavy as tent canvas but soft as it is cotton . They are generous to size but do order your regular one because air pockets are good insulators as well as aid in wicking moisture and drying  . They shrink a tad . Carhartt's are absolutely the best but you do have to pay up for them . They are worth it . If a thinner material will do I will try other quality brands like Key's or St Johns Bay if their on sale but truth be told the Carhartt's are best . They stain less and the same goes for other wear and tear. I have found it is better to not use bleach when washing these .
Good luck",The best pocket t's period but not cheap
5,Very comfortable.  Will definitely get another pair.,Very comfortable. Will definitely get another pair
5,"It's a great watch, accurate and reliable with the sweep second hand technology, this time Timex is a digital watch that lights up with the press of a button and it's waterproof. It tells you day and date and the wristband fits perfect, no sliding up and down my wrist..
Personally I could never understand the hype with Apple watches for the amount of money they're asking. For $25, Timex will give you a far superior product that can last you a decade before you ever need to change the battery and you never have to charge it..!","It's a great watch, accurate and reliable with the sweep second ..."
5,I feel like a spaceman,Five Stars
5,Love product,Love product
5,this was a gift to our granddaughter; she wears it every day during the winter; she loves all things Harry Potter,quality scarf
5,Thank you,Pleased
5,Perfect. Just what I needed for my purse.,Five Stars
5,"Invictas are the best value watches around, great looking and very reliable.",Great looking watch
5,Excellent,Five Stars
5,"These fit perfectly and are probably the most comfortable pair of sandals I have ever worn. They contour ever sexy curve of your feet. Don't mind the haters, y'all. rock on.

I only returned these because they aren't made of leather. I exchanged these for a leather pair, sure to last me many years.",The best shoes ever
5,"This cami is a great way to look like you lost those 10lbs. you've been trying to without any effort at all!!! It shapes beautifully and is so very comfortable. It smooths out those rolls and gets rid of ""back fat""!!!!!",Want to look 10lbs. thinner??!!
5,Love these. They are the most comfortable shoes I've ever had. I ve two pairs.,Five Stars
5,"I had been juggling with the idea of getting a watch for a while, I had no idea what I wanted. With work and a budget in mind I wanted something cheaper that could take a beating, I kept telling myself that pulling my phone out of my pocket just to check the time would suffice..

..and then the Nutnfancy video came out for these, if you're a TNP'r you can probably guess what happened next. No problems so far, will update if any arise.","Simple, functional, TNP recommendation"
5,"I got the sesame street fire engine and my grandson loves it and he wears his hat while riding it.
But he wears it backwards it is so cute to watch him play with his new toys.",Grandson and his toys
5,comfy and quick service,Five Stars
5,"These are beautiful, top-quality shearling slippers that I bought my husband for Christmas.  They are extremely well-made and, according to him, fit true to size and are very, very comfortable.  He loves them, so I love them, too!",MY HUSBAND'S SLIPPERS
5,The person I bought it for really loved it!  and it fit perfectly!,Five Stars
5,Excellent price.  Given as a gift.  Thanks!,Five Stars
5,"I purchased this item as a gift for the husband. It's a pretty manly watch. It's attractive, the glass face is resistant to scratching, and as mechanical watches go it does a really good job of keeping time. In six months of wear only 1 reset has been needed, and that was due to not wearing it for a few days.",It's a pretty manly watch
5,this item was beautiful just like all the other jewelry i purchased beautiful and 100% great product great gift for Christmas,gift
5,"Bought this bag to store some fishing equipment, love the number of pockets and it appears to be well made. I do own other western pack items and have not been disappointed. Before purchasing this bag I decided to purchase the 12"" bag for the same purpose. Would recommend to anyone looking for a small bag for traveling.",Works well for storing/traveling with small items.
5,Awesome Chuck Taylors as expected,Awesome
5,"Don't know what that other reviewer was talking about it had padding in the aims, quality is there and really come on for $20 bucks free shipping you can't go wrong. I know you get what you pay for but this is allot more then what I paid for",Really Happy
5,Love these shoes! Hurt initially do to stiffness of leather. Now they fit like a glove.,Five Stars
5,I have battled Planter Fasciitis for over 3 years in both feet.  Have tried many shoes.  Nothing is even close to the comfort I have when wearing these.  The high arch is very supportive.  I now wear these pretty much all of the time.  If  you have planter fasciitis you know what I am talking about.  IT HURTS.  Every morning getting out of bed and feeling like both feet are broken.  When slipping these on it is pretty much instant relief.  Thanks Birkenstock!!,Relief for Planter Fasciitis
5,"Every man should own a pair of Dickies. These are essential. No cell pocket or double knee, just pants.",Classic
5,These are the best mittens for little hands at a reasonable price that I've come across.,Thanks for having them.
5,Excellent buy!,Five Stars
5,It is a very light weight and comfortable shoe that I've been wearing for at least 7 or 8 years.  They don't have any metal in them so in theory they are airport friendly.,I love these shoes.
5,"Fit well, very comfy.",Five Stars
5,My son loved it!  The color is brighter than in the picture and that was exactly what he was hoping for.,My son loved it! The color is brighter than in the ...
5,Best tee shirt on the market by far.,A must have
5,"I bought this duffle for my son going off to college for his laundry bag.  Some of the other ""laundry"" bags had such skimpy handles I didn't think they would hold up to lots of dirty clothes being carried to another building to wash clothes.  This one is very sturdy and it holds a ton of clothes plus detergent.  He loves it as well.",College boy loves duffle
5,"My husband has wanted one of these shirts forever but everywhere else wanted 3 times the price. He says it's the most
comfortable shirt he has ever owned.  It's so comfortable in hot weather.  It's water resistant and launders beautifully.  He just
ordered two more.",columbia men's bahama II short sleeve shirt
5,They are great,Five Stars
5,"These are good for hot summer days. They are thin cotton and comfortable.

They look baggy but not stupid. Baggy shorts that a skateboarder would wear .

My son likes them alot - he is 6'2"" and 15 years old.",Not bad
5,My husband has wore this brand for awhile now.  We normally got them from JC Penney's but found them on Amazon for a lower price.  Happy with the purchase.,Happy with the purchase
5,The pants waist runs small.,Five Stars
5,Great boot!,Five Stars
5,"Excellent shoes, on my forth pair.  Conforable and stylish. The shoe last for years.",Great Shoe
5,nice,Five Stars
5,Great,Five Stars
5,Fit just right.  Really comfortable.,Really comfortable.
5,I own a CNA school and I ordered a bunch of these for my students. I love it!!!!! Great price and great for training!,I love it!
5,"I like the thick strap mens sandal because it's wider (I'm female) and therefore I don't have to break them in like the woman sandals. They are super comfortable right off the bat, but so are the womens after they're broken in!!! Love them!
Rosa Meeks",So worth the price!!!
5,cleans and shines my jewelry nicely.,Five Stars
5,EXCELLENT PRODUCT,Five Stars
5,"I got this as a gift for a friend for his birthday, since nowhere in town sells converse. They fit as expected, and are just what I needed. Thank you!",Huzzah!
5,"Quality boots overall, there's nothing much to say about the Copa Mundial, it's one of the best soccer boots out there, most comfortable one.
The sizing is a bit tricky, you have to go ONE SIZE DOWN from your normal size (with no extra space in front of your toes), the k-leather will stretch a lot, and you'll get the custom fit, with leather upper mold to your foot shape.","Traditional style, most comfortable, top quality product."
5,"I bought this watch in the mens' size and it fits my wrist just fine.  It looks proportional on my arm; not like I'm wearing a man's watch.  I love the green face and I appreciate the Timex-Indiglo feature, so I can see the face in the dark.  I'm very happy with my purchase!",... the mens' size and it fits my wrist just fine. It looks proportional on my arm
5,"my girl loves them. It's perfect for dance class. They fit comfortable and she loves them. Any one in dance shop here, fast shipping",perfect fit
5,Just what I wanted - so pretty.,Five Stars
5,A picky relative loved these shoes which I purchased for her.  She says they are true to size & were very comfy.  The nonslip soles are great for safety whilst caught outside during wet weather.  I purchased 2 pairs (black & brown),"Given as a gift, received great reviews..."
5,I absolutely love these shoes. Having foot issues I have discovered that Birkenstock help tremendously and I can actually wear them all day! This recent pair just happens to be my fourth pair and they last forever! Thank you!!!,These shoes are awesome!
5,great product! recommended. good quality and design.,Five Stars
5,Fits good,Five Stars
5,This is the 2nd pair of this exact shoe that I've had.  They are very comfortable and hold up very well.  And...I will always buy then at Amazon.  Love them both!,Best walking shoes I've ever had!
5,"Love all the pockets, hanging loop, and durability.  I'm 6'2"", normal build; i.e., not skinny and not fat.  Ordered three different sizes trying to find the right fit so I greatly appreciate Amazon's free return policy.  Finally landed on XL tall but the pants are extremely baggy.  I could wear 6 pairs of jeans, they are so baggy.",Love Everything But Fit
5,Husband Loves them,Five Stars
5,these boots feel very durable I wear these 8 hours a day as a corrections officer so far I love them hopefully they don't stretch out too much like my other paratrooper boots,... a day as a corrections officer so far I love them hopefully they don't stretch out too much like ...
5,fit is perfect.  Comfortable from the beginning.  Love Them!,fit is perfect. Comfortable from the beginning
5,very nice,Five Stars
